Chibi Name,Category,Type,Rarity,GFICommand,Image URL
Chibi Party Rex,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Partyrex 1 0 0,https://ark.wiki.gg/wiki/Chibi_Party_Rex#/media/File:Chibi-Rex.png
Chibi-Achatina,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Achatina 1 0 0,https://ark.wiki.gg/images/b/bc/Chibi-Achatina.png
Chibi-Allosaurus,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Allosaurus 1 0 0,https://ark.wiki.gg/images/1/12/Chibi-Allosaurus.png
Chibi-Ammonite,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Ammonite 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Ammonite.png
Chibi-Anglerfish,License,Chibi-Pets,Common,cheat gfi AnglerFish 1 0 0,https://ark.wiki.gg/images/b/ba/Chibi-Anglerfish.png
Chibi-Animated Series Raptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_RaptorAnimatedSeries 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Raptor.png
Chibi-Ankylosaurus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Ankylosaurus 1 0 0,https://ark.wiki.gg/images/c/c2/Chibi-Ankylosaurus.png
Chibi-Araneo,License,Chibi-Pets,Common,cheat gfi Araneo 1 0 0,https://ark.wiki.gg/images/5/52/Chibi-Araneo.png
Chibi-Archaeopteryx,License,Chibi-Pets,Common,cheat gfi ChibiDino_Archaeopteryx 1 0 0,https://ark.wiki.gg/images/e/e6/Chibi-Archaeopteryx.png
Chibi-Argentavis,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Argent 1 0 0,https://ark.wiki.gg/images/0/03/Chibi-Argentavis.png
Chibi-Astrocetus,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Astrocetus 1 0 0,https://ark.wiki.gg/images/c/c1/Chibi-Astrocetus.png
Chibi-Astrodelphis,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Astrodelphis 1 0 0,https://ark.wiki.gg/images/9/91/Chibi-Astrodelphis.png
Chibi-Baryonyx,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Baryonyx 1 0 0,https://ark.wiki.gg/images/0/0d/Chibi-Baryonyx.png
Chibi-Basilisk,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Basilisk 1 0 0,https://ark.wiki.gg/images/5/51/Chibi-Basilisk.png
Chibi-Beelzebufo,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Beelzebufo 1 0 0,https://ark.wiki.gg/images/e/eb/Chibi-Beelzebufo.png
Chibi-Bloodstalker,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_BogSpider 1 0 0,https://ark.wiki.gg/images/5/55/Chibi-Bloodstalker.png
Chibi-Bonnet Otter,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_OtterBonnet 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-OtterBonnet.png
Chibi-Brontosaurus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Bronto 1 0 0,https://ark.wiki.gg/images/e/e5/Chibi-Brontosaurus.png
Chibi-Broodmother,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Broodmother 1 0 0,https://ark.wiki.gg/images/7/7e/Chibi-Broodmother.png
Chibi-Bulbdog,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Bulbdog 1 0 0,https://ark.wiki.gg/images/5/54/Chibi-Bulbdog.png
Chibi-Bunny,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Bunny 1 0 0,https://ark.wiki.gg/images/0/0d/Chibi-Bunny.png
Chibi-Carbonemys,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Carbonemys 1 0 0,https://ark.wiki.gg/images/8/87/Chibi-Carbonemys.png
Chibi-Carcharodontosaurus,License,Chibi-Pets,Common,cheat gfi Carcha 1 0 0,https://ark.wiki.gg/images/c/cf/Chibi-Carcharodontosaurus.png
Chibi-Carno,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Carnotaurus 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Carno.png
Chibi-Castoroides,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Castroides 1 0 0,https://ark.wiki.gg/images/7/7e/Chibi-Castoroides.png
Chibi-Cnidaria,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Cnidaria 1 0 0,https://ark.wiki.gg/images/5/5a/Chibi-Cnidaria.png
Chibi-Daeodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Daeodon 1 0 0,https://ark.wiki.gg/images/1/10/Chibi-Daeodon.png
Chibi-Deal With It Dodo,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_DodoDealWithIt 1 0 0,https://ark.wiki.gg/images/c/c2/Chibi-Dodo_Deal_With_It.png
Chibi-Dilophosaur,License,Chibi-Pets,Common,cheat gfi ChibiDino_Dilophosaur 1 0 0,https://ark.wiki.gg/images/1/14/Chibi-Dilophosaur.png
Chibi-Diplodocus,License,Chibi-Pets,Common,cheat gfi Diplodocus 1 0 0,https://ark.wiki.gg/images/8/83/Chibi-Diplodocus.png
Chibi-Direbear,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Direbear 1 0 0,https://ark.wiki.gg/images/2/23/Chibi-Direbear.png
Chibi-Direwolf,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Direwolf 1 0 0,https://ark.wiki.gg/images/2/23/Chibi-Direwolf.png
Chibi-Dodo,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Dodo 1 0 0,https://ark.wiki.gg/images/2/22/Chibi-Dodo.png
Chibi-Doedicurus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Doedicurus 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Doedicurus.png
Chibi-Dunkleosteus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Dunkleo 1 0 0,https://ark.wiki.gg/images/1/1a/Chibi-Dunkleosteus.png
Chibi-Easter Chick,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_EasterChick 1 0 0,https://ark.wiki.gg/images/0/0d/Chibi-Easter_Chick.png
Chibi-Enforcer,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Enforcer 1 0 0,https://ark.wiki.gg/images/d/da/Chibi-Enforcer.png
Chibi-Equus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Equus 1 0 0,https://ark.wiki.gg/images/e/ea/Chibi-Equus.png
Chibi-Featherlight,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Featherlight 1 0 0,https://ark.wiki.gg/images/2/22/Chibi-Featherlight.png
Chibi-Ferox (Large),License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Shapeshifter_Large 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Ferox_%28Large%29.png
Chibi-Ferox (Small),License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Shapeshifter_Small 1 0 0,https://ark.wiki.gg/images/1/10/Chibi-Ferox_%28Small%29.png
Chibi-Festive Bulbdog,License,Chibi-Pets,Rare,cheat gfi Bulbdog_FestiveG 1 0 0,https://ark.wiki.gg/images/5/54/Chibi-Bulbdog_Festive.png
Chibi-Festive Bulbdog Red,License,Chibi-Pets,Rare,cheat gfi Bulbdog_FestiveR 1 0 0,https://ark.wiki.gg/images/2/22/Chibi-Featherlight_Festive.png
Chibi-Festive Featherlight,License,Chibi-Pets,Rare,cheat gfi Featherlight_FestiveG 1 0 0,https://ark.wiki.gg/images/4/45/Chibi-Glowtail_Festive.png
Chibi-Festive Featherlight Red,License,Chibi-Pets,Rare,cheat gfi Featherlight_FestiveR 1 0 0,https://ark.wiki.gg/images/0/0d/Chibi-Noglin_Festive.png
Chibi-Festive Glowtail Green,License,Chibi-Pets,Rare,cheat gfi Glowtail_FestiveG 1 0 0,https://ark.wiki.gg/images/e/e6/Chibi-Shinehorn_Festive.png
Chibi-Festive Glowtail Res,License,Chibi-Pets,Rare,cheat gfi Glowtail_FestiveR 1 0 0,
Chibi-Festive Noglin,License,Chibi-Pets,Legendary,Cheat gfi Slugxmas 1 0 0,
Chibi-Festive Shinehorn Green,License,Chibi-Pets,Rare,cheat gfi Shinehorn_FestiveG 1 0 0,
Chibi-Festive Shinehorn Red,License,Chibi-Pets,Rare,cheat gfi Shinehorn_FestiveR 1 0 0,
Chibi-Gacha Claus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_GachaClaus 1 0 0,https://ark.wiki.gg/images/b/bb/Chibi-Gacha_Claus.png
Chibi-Gallimimus,License,Chibi-Pets,Common,cheat gfi ChibiDino_Gallimimus 1 0 0,https://ark.wiki.gg/images/4/45/Chibi-Gallimimus.png
Chibi-Gasbag,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Gasbag 1 0 0,https://ark.wiki.gg/images/3/30/Chibi-Gasbags.png
Chibi-Ghost Basilisk,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_BasiliskGhost 1 0 0,https://ark.wiki.gg/images/6/64/Chibi-Ghost_Basilisk.png
Chibi-Ghost Direwolf,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_DirewolfGhost 1 0 0,https://ark.wiki.gg/images/7/7b/Chibi-Direwolf_Ghost.png
Chibi-Ghost Mantis,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_MantisGhost 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Mantis_Ghost.png
Chibi-Ghost Rex,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_RexGhost 1 0 0,https://ark.wiki.gg/images/e/e5/Chibi-Rex_Ghost.png
Chibi-Giganotosaurus,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Gigant 1 0 0,https://ark.wiki.gg/images/3/36/Chibi-Giganotosaurus.png
Chibi-Gigantopithecus,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Gigantopithecus 1 0 0,https://ark.wiki.gg/images/5/5e/Chibi-Gigantopithecus.png
Chibi-Gigantopithecus Chieftain,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_GigantopithecusChieftain 1 0 0,https://ark.wiki.gg/images/c/c5/Chibi-Gigantopithecus_with_Chieftain_Hat.png
Chibi-Glowtail,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Glowtail 1 0 0,https://ark.wiki.gg/images/4/45/Chibi-Glowtail.png
Chibi-Griffin,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Griffin 1 0 0,https://ark.wiki.gg/images/d/d4/Chibi-Griffin.png
Chibi-Iguanodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Iguanodon 1 0 0,https://ark.wiki.gg/images/b/bc/Chibi-Iguanodon.png
Chibi-Jerbunny,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_JerboaBunny 1 0 0,https://ark.wiki.gg/images/0/0d/Chibi-Jerboa_Bunny.png
Chibi-Kairuku,License,Chibi-Pets,Common,cheat gfi ChibiDino_Kairuku 1 0 0,https://ark.wiki.gg/images/1/10/Chibi-Kairuku.png
Chibi-Kaprosuchus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Kaprosuchus 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Kaprosuchus.png
Chibi-Karkinos,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Karkinos 1 0 0,https://ark.wiki.gg/images/6/69/Chibi-Karkinos.png
Chibi-Kentrosaurus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Kentrosaurus 1 0 0,https://ark.wiki.gg/images/1/1a/Chibi-Kentrosaurus.png
Chibi-Lovebird,License,Chibi-Pets,Rare,cheat gfi ChibiDino_LoveBird 1 0 0,https://ark.wiki.gg/images/e/ea/Chibi-Lovebird.png
Chibi-Lymantria,License,Chibi-Pets,Common,cheat gfi Lymantria 1 0 0,https://ark.wiki.gg/images/b/b6/Chibi-Lymantria.png
Chibi-Maewing,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Maewing 1 0 0,https://ark.wiki.gg/images/1/12/Chibi-Maewing.png
Chibi-Magmasaur,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Cherufe 1 0 0,https://ark.wiki.gg/images/4/41/Chibi-Magmasaur.png
Chibi-Mammoth,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Mammoth 1 0 0,https://ark.wiki.gg/images/e/e5/Chibi-Mammoth.png
Chibi-Managarmr,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_managarmr 1 0 0,https://ark.wiki.gg/images/7/7b/Chibi-Managarmr.png
Chibi-Manta,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Manta 1 0 0,https://ark.wiki.gg/images/5/5e/Chibi-Manta.png
Chibi-Mantis,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Mantis 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Mantis.png
Chibi-Megalania,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Megalania 1 0 0,https://ark.wiki.gg/images/5/52/Chibi-Megalania.png
Chibi-Megaloceros,License,Chibi-Pets,Common,cheat gfi ChibiDino_Megaloceros 1 0 0,https://ark.wiki.gg/images/e/eb/Chibi-Megaloceros.png
Chibi-Megalodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Megalodon 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Megalodon.png
Chibi-Megatherium,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Megatherium 1 0 0,https://ark.wiki.gg/images/0/0d/Chibi-Megatherium.png
Chibi-Mesopithecus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Mesopithecus 1 0 0,https://ark.wiki.gg/images/c/cf/Chibi-Mesopithecus.png
Chibi-Micro-Raptor,License,Chibi-Pets,Common,cheat gfi ChibiDino_Microraptor 1 0 0,https://ark.wiki.gg/images/c/c2/Chibi-Microraptor.png
Chibi-Mosa,License,Chibi-Pets,Uncommon,cheat gfi Mosa 1 0 0,https://ark.wiki.gg/images/1/11/Chibi-Mosasaurus.png
Chibi-Moschop,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Moschops 1 0 0,https://ark.wiki.gg/images/b/bd/Chibi-Moschops.png
Chibi-Noglin,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_BrainSlug 1 0 0,https://ark.wiki.gg/images/0/0d/Chibi-Noglin.png
Chibi-Onychonycteris,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Onyc 1 0 0,https://ark.wiki.gg/images/5/52/Chibi-Onyc.png
Chibi-Otter,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Otter 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Otter.png
Chibi-Oviraptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Oviraptor 1 0 0,https://ark.wiki.gg/images/b/bc/Chibi-Oviraptor.png
Chibi-Ovis,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Sheep 1 0 0,https://ark.wiki.gg/images/3/30/Chibi-Ovis.png
Chibi-Paraceratherium,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Paraceratherium 1 0 0,https://ark.wiki.gg/images/1/1a/Chibi-Paraceratherium.png
Chibi-Parasaur,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Parasaur 1 0 0,https://ark.wiki.gg/images/c/c2/Chibi-Parasaur.png
Chibi-Pelagornis,License,Chibi-Pets,Common,cheat gfi ChibiDino_Pelagornis 1 0 0,https://ark.wiki.gg/images/8/86/Chibi-Pelagornis.png
Chibi-Phiomia,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Phiomia 1 0 0,https://ark.wiki.gg/images/8/87/Chibi-Phiomia.png
Chibi-Phoenix,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Phoenix 1 0 0,https://ark.wiki.gg/images/c/cf/Chibi-Phoenix.png
Chibi-Plesiosaur,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Plesiosaur 1 0 0,https://ark.wiki.gg/images/a/ac/Chibi-Plesiosaur.png
Chibi-Procoptodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Procoptodon 1 0 0,https://ark.wiki.gg/images/e/ea/Chibi-Procoptodon.png
Chibi-Pteranodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Pteranodon 1 0 0,https://ark.wiki.gg/images/c/c7/Chibi-Pteranodon.png
Chibi-Pulmonoscorpius,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Pulmonoscorpius 1 0 0,https://ark.wiki.gg/images/c/c1/Chibi-Pulmonoscorpius.png
Chibi-Quetz,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Quetzal 1 0 0,https://ark.wiki.gg/images/0/03/Chibi-Quetzal.png
Chibi-Raptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Raptor 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Raptor.png
Chibi-Reaper,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Reaper 1 0 0,https://ark.wiki.gg/images/0/0d/Chibi-Reaper_Queen.png
Chibi-Reindeer,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Reindeer 1 0 0,
Chibi-Rex,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Rex 1 0 0,https://ark.wiki.gg/images/e/e5/Chibi-Rex.png
Chibi-Rhino,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_WoollyRhino 1 0 0,https://ark.wiki.gg/images/7/73/Chibi-Woolly_Rhino.png
Chibi-Rock Drake,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_RockDrake 1 0 0,https://ark.wiki.gg/images/5/5e/Chibi-Rock_Drake.png
Chibi-Rock Golem,License,Chibi-Pets,Common,Cheat gfi ChibiDino_RockGolem 1 0 0,https://ark.wiki.gg/images/5/54/Chibi-Rock_Elemental.png
Chibi-Roll Rat,License,Chibi-Pets,Common,Cheat gfi ChibiDino_MoleRat 1 0 0,https://ark.wiki.gg/images/7/7b/Chibi-Roll_Rat.png
Chibi-Sabertooth,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Saber 1 0 0,https://ark.wiki.gg/images/e/ea/Chibi-Sabertooth.png
Chibi-Sarco,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Sarco 1 0 0,https://ark.wiki.gg/images/5/52/Chibi-Sarcosuchus.png
Chibi-Seeker,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Seeker 1 0 0,https://ark.wiki.gg/images/4/4b/Chibi-Seeker.png
Chibi-Shadowmane,License,Chibi-Pets,Legendary,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Armor/Skin/ChibiDinos/PrimalItemSkin_ChibiDino_ShadowMane.PrimalItemSkin_ChibiDino_ShadowMane'"" 1 0 0",https://ark.wiki.gg/images/1/10/Chibi-Shadowmane.png
Chibi-Shinehorn,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Shinehorn 1 0 0,https://ark.wiki.gg/images/e/e6/Chibi-Shinehorn.png
Chibi-Skeletal Bronto,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Bronto_Bone 1 0 0,https://ark.wiki.gg/images/e/e5/Chibi-Brontosaurus_Skeletal.png
Chibi-Skeletal Carno,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Carnotaurus_Bone 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Carno_Skeletal.png
Chibi-Skeletal Giga,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Gigant_Bone 1 0 0,https://ark.wiki.gg/wiki/Chibi-Skeletal_Giganotosaurus#/media/File:Chibi-Skeletal_Giganotosaurus.png
Chibi-Skeletal Jerboa,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Jerboa_Bone 1 0 0,https://ark.wiki.gg/images/3/36/Chibi-Jerboa_Skeletal.png
Chibi-Skeletal Quetzal,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Quetzal_Bone 1 0 0,https://ark.wiki.gg/images/0/03/Chibi-Quetzal_Skeletal.png
Chibi-Skeletal Raptor,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Raptor_Bone 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Raptor_Skeletal.png
Chibi-Skeletal Rex,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Rex_Bone 1 0 0,https://ark.wiki.gg/images/e/e5/Chibi-Rex_Skeletal.png
Chibi-Skeletal Stego,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Stego_Bone 1 0 0,https://ark.wiki.gg/images/7/7b/Chibi-Stegosaurus_Skeletal.png
Chibi-Skeletal Trike,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Trike_Bone 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Triceratops_Skeletal.png
Chibi-Skeletal Wyvern,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Wyvern_Bone 1 0 0,https://ark.wiki.gg/images/c/c1/Chibi-Wyvern_Skeletal.png
Chibi-Snow Owl,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_SnowOwl 1 0 0,https://ark.wiki.gg/images/4/45/Chibi-Snow_Owl.png
Chibi-Spino,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Spino 1 0 0,https://ark.wiki.gg/images/1/12/Chibi-Spino.png
Chibi-Spooky Bulbdog,License,Chibi-Pets,Common,cheat gfi Bulbdog_Pumpkin 1 0 0,https://ark.wiki.gg/images/5/54/Chibi-Bulbdog_Spooky.png
Chibi-Spring Shinehorn,License,Chibi-Pets,Rare,cheat gfi ChibiDino_SpringShinehorn 1 0 0,https://ark.wiki.gg/images/e/e6/Chibi-Shinehorn_Spring.png
Chibi-Stego,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Stego 1 0 0,https://ark.wiki.gg/images/7/7b/Chibi-Stegosaurus.png
Chibi-Straw Hat Otter,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_OtterStrawHat 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Otter_with_Straw_Hat.png
Chibi-Stuffed Glowtail,License,Chibi-Pets,Very Rare,cheat gfi GlowtailStuffed 1 0 0,https://ark.wiki.gg/images/4/45/Chibi-Glowtail_Stuffed.png
Chibi-Tapejara,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Tapejara 1 0 0,https://ark.wiki.gg/images/0/0d/Chibi-Tapejara.png
Chibi-TEK Raptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_TekRaptor 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Tek_Raptor.png
Chibi-Tek Stryder,License,Chibi-Pets,Legendary,cheat gfi TekStryder 1 0 0,https://ark.wiki.gg/images/2/22/Chibi-Tek_Stryder.png
Chibi-Terror Bird,License,Chibi-Pets,Common,Cheat gfi ChibiDino_TerrorBird 1 0 0,https://ark.wiki.gg/images/4/45/Chibi-Terror_Bird.png
Chibi-The Witching Owl,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_WitchingOwl 1 0 0,https://ark.wiki.gg/images/4/45/Chibi-Snow_Owl_The_Witching.png
Chibi-Therizino,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Therizino 1 0 0,https://ark.wiki.gg/images/e/e5/Chibi-Therizinosaurus.png
Chibi-Thorny Dragon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_SpineyLizard 1 0 0,https://ark.wiki.gg/images/2/23/Chibi-Thorny_Dragon.png
Chibi-Thylacoleo,License,Chibi-Pets,Uncommon,Cheat gfi chibidino_thyla 1 0 0,https://ark.wiki.gg/images/a/a2/Chibi-Thylacoleo.png
Chibi-Trike,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Trike 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Triceratops.png
Chibi-Troodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Troodon 1 0 0,https://ark.wiki.gg/images/c/c2/Chibi-Troodon.png
Chibi-Tusoteuthis,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Tuso 1 0 0,https://ark.wiki.gg/images/a/ac/Chibi-Tusoteuthis.png
Chibi-Unicorn,License,Chibi-Pets,Common,Cheat gfi chibidino_Unicorn 1 0 0,https://ark.wiki.gg/images/e/ea/Chibi-Unicorn.png
Chibi-Velonasaur,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Velonasaur 1 0 0,https://ark.wiki.gg/images/3/30/Chibi-Velonasaur.png
Chibi-Voidwyrm,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_VoidWyvern 1 0 0,https://ark.wiki.gg/images/5/55/Chibi-Voidwyrm.png
Chibi-Vulture,License,Chibi-Pets,Common,cheat gfi Vulture 1 0 0,https://ark.wiki.gg/images/b/b6/Chibi-Vulture.png
Chibi-Wyvern,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Wyvern 1 0 0,https://ark.wiki.gg/images/c/c1/Chibi-Wyvern.png
Chibi-X-Sabertooth,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_SaberX 1 0 0,https://ark.wiki.gg/images/e/ea/Chibi-X-Sabertooth.png
Chibi-Yutyrannus,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Yutyrannus 1 0 0,https://ark.wiki.gg/images/e/eb/Chibi-Yutyrannus.png
Chibi-Zombie Wyvern,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Wyvern_Zombie 1 0 0,https://ark.wiki.gg/images/c/c1/Chibi-Wyvern_Zombie.png
Chini-QueenBee,License,Chibi-Pets,Rare,cheat gfi ChibiDino_QueenBee 1 0 0,https://ark.wiki.gg/wiki/File:Chibi-Giant_Bee.png
Pair-o-Saurs Chibi,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Pairosaurs_VDay 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Pair-o-Saurs.png
Teeny Tiny Titano,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Titano 1 0 0,https://ark.wiki.gg/images/0/03/Chibi-Titanosaur_Teeny_Tiny.png
White-Collar Kairuku,License,Chibi-Pets,Common,Cheat gfi ChibiDino_TopHatKairuku 1 0 0,https://ark.wiki.gg/images/1/10/Chibi-Kairuku_White-Collar.png